# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    2.63e+01  2.90e+01    1.36e+00  1.36e+00    8.29e-01  9.15e-01    5.0e-03
    100    2.56e+01  2.54e+01    2.34e+00  2.34e+00    8.02e-01  7.94e-01    5.0e-03
    200    2.62e+01  2.60e+01    7.87e-01  7.91e-01    8.26e-01  8.22e-01    5.0e-03
    300    2.73e+01  2.86e+01    2.17e+00  2.17e+00    8.59e-01  9.02e-01    5.0e-03
    400    3.15e+01  3.15e+01    1.46e+00  1.45e+00    9.96e-01  9.97e-01    5.0e-03
    500    2.63e+01  2.70e+01    1.48e+00  1.49e+00    8.28e-01  8.50e-01    5.0e-03
    600    2.59e+01  2.96e+01    6.22e-01  6.38e-01    8.20e-01  9.37e-01    5.0e-03
    700    2.51e+01  2.43e+01    1.59e+00  1.59e+00    7.89e-01  7.64e-01    5.0e-03
    800    2.59e+01  2.81e+01    9.08e-01  9.15e-01    8.18e-01  8.87e-01    5.0e-03
    900    3.35e+01  2.42e+01    1.49e+00  1.50e+00    1.05e+00  7.61e-01    5.0e-03
   1000    3.87e+01  3.53e+01    1.27e+01  1.27e+01    1.18e+00  1.07e+00    5.0e-03
   1100    2.47e+01  2.41e+01    1.59e+00  1.58e+00    7.78e-01  7.60e-01    5.0e-03
   1200    2.59e+01  2.36e+01    8.42e-01  8.39e-01    8.18e-01  7.44e-01    5.0e-03
   1300    3.12e+01  3.00e+01    6.14e-01  6.10e-01    9.86e-01  9.48e-01    5.0e-03
   1400    2.70e+01  2.76e+01    2.03e+00  2.04e+00    8.51e-01  8.70e-01    5.0e-03
   1500    2.84e+01  3.15e+01    1.58e+00  1.58e+00    8.98e-01  9.97e-01    5.0e-03
   1600    2.64e+01  2.60e+01    2.37e+00  2.36e+00    8.29e-01  8.15e-01    5.0e-03
   1700    2.52e+01  2.36e+01    2.18e+00  2.18e+00    7.89e-01  7.38e-01    5.0e-03
   1800    2.55e+01  2.33e+01    2.12e+00  2.12e+00    8.00e-01  7.30e-01    5.0e-03
   1900    2.39e+01  2.52e+01    6.14e+00  6.14e+00    7.23e-01  7.66e-01    5.0e-03
   2000    1.77e+01  1.70e+01    9.76e-01  9.76e-01    5.61e-01  5.37e-01    5.0e-03
   2100    1.85e+01  1.96e+01    1.59e+00  1.59e+00    5.78e-01  6.15e-01    5.0e-03
   2200    2.98e+01  2.77e+01    1.15e+00  1.15e+00    9.42e-01  8.73e-01    5.0e-03
   2300    2.06e+01  2.23e+01    1.18e+00  1.18e+00    6.52e-01  7.03e-01    5.0e-03
   2400    2.18e+01  2.15e+01    1.68e-01  1.65e-01    6.89e-01  6.79e-01    5.0e-03
   2500    1.60e+01  1.91e+01    7.03e-01  7.08e-01    5.05e-01  6.02e-01    5.0e-03
   2600    1.97e+01  1.87e+01    1.97e+00  1.96e+00    6.14e-01  5.84e-01    5.0e-03
   2700    2.04e+01  2.27e+01    2.46e+00  2.47e+00    6.36e-01  7.07e-01    5.0e-03
   2800    2.21e+01  2.29e+01    2.98e+00  2.97e+00    6.84e-01  7.09e-01    5.0e-03
   2900    2.32e+01  2.20e+01    2.15e+00  2.15e+00    7.24e-01  6.87e-01    5.0e-03
   3000    1.98e+01  2.07e+01    5.85e-01  5.76e-01    6.25e-01  6.53e-01    5.0e-03
   3100    2.06e+01  1.90e+01    2.14e+00  2.14e+00    6.41e-01  5.91e-01    5.0e-03
   3200    1.86e+01  1.96e+01    1.61e+00  1.60e+00    5.83e-01  6.16e-01    5.0e-03
   3300    1.53e+01  1.63e+01    1.26e-01  1.25e-01    4.83e-01  5.16e-01    5.0e-03
   3400    2.22e+01  1.98e+01    2.97e-01  2.93e-01    7.00e-01  6.26e-01    5.0e-03
   3500    1.98e+01  1.90e+01    2.35e-01  2.29e-01    6.25e-01  6.00e-01    5.0e-03
   3600    2.55e+01  2.30e+01    1.25e+00  1.25e+00    8.05e-01  7.27e-01    5.0e-03
   3700    1.83e+01  2.21e+01    4.39e-01  4.34e-01    5.77e-01  7.00e-01    5.0e-03
   3800    1.58e+01  1.66e+01    7.53e-01  7.50e-01    4.98e-01  5.22e-01    5.0e-03
   3900    1.65e+01  1.66e+01    1.65e+00  1.65e+00    5.17e-01  5.18e-01    5.0e-03
   4000    1.83e+01  1.78e+01    1.44e+00  1.44e+00    5.75e-01  5.61e-01    5.0e-03
   4100    1.65e+01  1.68e+01    1.80e+00  1.80e+00    5.14e-01  5.23e-01    5.0e-03
   4200    1.65e+01  1.60e+01    2.63e-01  2.66e-01    5.22e-01  5.07e-01    5.0e-03
   4300    1.86e+01  2.00e+01    2.65e+00  2.65e+00    5.72e-01  6.18e-01    5.0e-03
   4400    1.53e+01  1.38e+01    1.58e+00  1.57e+00    4.78e-01  4.29e-01    5.0e-03
   4500    2.13e+01  2.11e+01    5.75e+00  5.75e+00    6.43e-01  6.37e-01    5.0e-03
   4600    2.05e+01  2.09e+01    6.11e-01  6.13e-01    6.49e-01  6.61e-01    5.0e-03
   4700    1.90e+01  2.04e+01    2.14e-02  2.06e-02    6.01e-01  6.44e-01    5.0e-03
   4800    1.71e+01  1.75e+01    2.17e+00  2.17e+00    5.32e-01  5.43e-01    5.0e-03
   4900    1.58e+01  1.57e+01    4.84e-01  4.85e-01    5.00e-01  4.98e-01    5.0e-03
   5000    1.58e+01  1.82e+01    1.02e+00  1.02e+00    4.99e-01  5.74e-01    5.0e-03
   5100    2.21e+01  2.28e+01    1.05e+00  1.05e+00    6.96e-01  7.18e-01    5.0e-03
   5200    1.53e+01  1.43e+01    2.08e+00  2.08e+00    4.74e-01  4.40e-01    5.0e-03
   5300    1.27e+01  1.28e+01    3.13e-01  3.13e-01    4.01e-01  4.06e-01    5.0e-03
   5400    2.05e+01  2.21e+01    4.88e-01  4.91e-01    6.49e-01  7.00e-01    5.0e-03
   5500    1.70e+01  1.66e+01    2.56e+00  2.56e+00    5.29e-01  5.15e-01    5.0e-03
   5600    1.68e+01  1.65e+01    2.71e+00  2.70e+00    5.15e-01  5.05e-01    5.0e-03
